Institution_ID,Undergraduate_Enrollment_FTE,Graduate_Enrollment_FTE,Reported_Undergraduate_Enrollment_FTE,Reported_Graduate_Enrollment_FTE,Doctors_Professional_Practice_FTE,Activity_Type,Year
106458,8845.0,3415.0,8845.0,3415.0,191.0,2,2016
106467,8588.0,592.0,8588.0,592.0,,2,2016
106485,2560.0,161.0,2560.0,161.0,,2,2016
106494,56.0,,56.0,,,1,2016
106546,813.0,,813.0,,,2,2016
106625,1226.0,,1226.0,,,2,2016
106704,9136.0,1227.0,9136.0,1227.0,328.0,2,2016
106713,701.0,,701.0,,,2,2016
106795,965.0,,965.0,,,2,2016
106810,196.0,,196.0,,,2,2016
106829,277.0,,277.0,,,2,2016
106883,752.0,,752.0,,,2,2016
106892,303.0,,303.0,,,2,2016
106908,453.0,,453.0,,,1,2016
106980,1591.0,,1591.0,,,2,2016
106999,963.0,,963.0,,,2,2016
107044,4365.0,797.0,4365.0,797.0,330.0,2,2016
107071,2960.0,284.0,2960.0,284.0,,2,2016
107080,1432.0,10.0,1432.0,10.0,,2,2016
107099,45.0,,45.0,,,1,2016
107123,138.0,,138.0,,,2,2016
107141,1666.0,440.0,1666.0,440.0,,2,2016
107211,33.0,,33.0,,,1,2016
107220,269.0,,269.0,,,1,2016
107293,85.0,,84.0,,,1,2016
107318,1069.0,,1069.0,,,2,2016
107327,917.0,,917.0,,,2,2016
107363,39.0,,39.0,,,1,2016
107442,66.0,,66.0,,,1,2016
107460,1314.0,,1314.0,,,2,2016
107488,332.0,,332.0,,,2,2016
107512,1458.0,,1458.0,,,2,2016
107521,805.0,,805.0,,,2,2016
107549,813.0,,813.0,,,2,2016
107558,645.0,,674.0,,,2,2016
107585,1529.0,,1529.0,,,2,2016
107600,593.0,,593.0,,,2,2016
107619,942.0,,942.0,,,2,2016
107637,1034.0,,1034.0,,,2,2016
107655,33.0,,33.0,,,1,2016
107664,5158.0,,5158.0,,,2,2016
107725,947.0,,947.0,,,2,2016
107743,551.0,,551.0,,,2,2016
107789,151.0,,151.0,,,1,2016
107831,80.0,,80.0,,,1,2016
107840,216.0,,216.0,,,2,2016
107877,487.0,,487.0,,,2,2016
107974,1091.0,,1091.0,,,2,2016
107983,2927.0,943.0,2927.0,943.0,,2,2016
107992,1084.0,,1084.0,,,2,2016
108065,24.0,,24.0,,,1,2016
108092,5403.0,6.0,5403.0,6.0,,2,2016
108232,6470.0,3352.0,6470.0,3352.0,,2,2016
108269,,193.0,,193.0,,-2,2016
108348,17.0,,17.0,,,2,2016
108649,259.0,,259.0,,,1,2016
108667,3097.0,,3097.0,,,2,2016
108807,6744.0,,6744.0,,,2,2016
108852,338.0,,338.0,,,2,2016
108861,,39.0,,39.0,,-2,2016
108870,,336.0,,336.0,,-2,2016
108977,115.0,,115.0,,,1,2016
109040,2004.0,,2004.0,,,3,2016
109086,24.0,57.0,24.0,57.0,,2,2016
